site;name;wiki;lat;lon;abstract;photo
http://dbpedia.org/resource/Aapravasi_Ghat;Aapravasi Ghat;http://en.wikipedia.org/wiki/Aapravasi_Ghat;-20.1586;57.5031;L’Aapravasi Ghat est un site classé patrimoine mondial par l’UNESCO le 12 juillet 2006. Il se trouve dans le district de Port-Louis, à Maurice, et précisément sur la route de Trou Fanfaron. Ce fut le lieu de débarquement des travailleurs engagés indiens dans l’île de novembre 1834 à 1910.;http://commons.wikimedia.org/wiki/Special:FilePath/Aapravasi_Ghat_latrines.jpg?width=300
http://dbpedia.org/resource/St_Augustine's_Abbey;Abbaye Saint-Augustin de Cantorbéry;http://en.wikipedia.org/wiki/St_Augustine's_Abbey;51.2789;1.08708;L’abbaye Saint-Augustin de Cantorbéry est un monastère fondé par Augustin de Cantorbéry aux environs de 598 dans la ville britannique du même nom, en Angleterre, pour célébrer le succès de l’évangélisation de l’Angleterre du Sud. Le site, aujourd’hui en ruines, est géré par l’English Heritage et inscrit par le Comité du patrimoine mondial, désigné par l’assemblée générale de l'UNESCO, sur la liste du patrimoine mondial depuis 1988. Les rois de Kent et les archevêques de Cantorbéry y sont enterrés.;http://commons.wikimedia.org/wiki/Special:FilePath/Augustine_Abbey.jpg?width=300
http://dbpedia.org/resource/Saint_John_Abbey,_Müstair;Abbaye Saint-Jean-des-Sœurs;http://en.wikipedia.org/wiki/Saint_John_Abbey,_Müstair;46.6292;10.4478;Le monastère Saint-Jean-Baptiste est une abbaye bénédictine située à Müstair, dans le canton des Grisons en Suisse.;http://commons.wikimedia.org/wiki/Special:FilePath/Benediktinerkloster_St._Johann.JPG?width=300
http://dbpedia.org/resource/Abbey_of_Fontenay;Abbaye de Fontenay;http://en.wikipedia.org/wiki/Abbey_of_Fontenay;47.6394;4.38911;L'abbaye de Fontenay est une abbaye cistercienne (aujourd'hui désaffectée) fondée en 1118 sur la commune française de Marmagne, dans le département de la Côte-d'Or et la région Bourgogne-Franche-Comté. Elle est située à la confluence de la combe Saint-Bernard et de la vallée du ruisseau de Fontenay. Elle est la plus ancienne abbaye cistercienne conservée, caractéristique par son dépouillement dans l'ornementation. Elle est classée au titre des monuments historiques depuis 1862, et inscrite au patrimoine mondial de l'UNESCO en 1981.;http://commons.wikimedia.org/wiki/Special:FilePath/Fontenay_-_general.JPG?width=300
http://dbpedia.org/resource/Lorsch_Abbey;Abbaye de Lorsch;http://en.wikipedia.org/wiki/Lorsch_Abbey;49.6536;8.56972;L'abbaye de Lorsch, fondée en 764, fut construite à la périphérie de la ville de Lorsch (Allemagne, Hesse) dans la plaine du Rhin et devint un important centre culturel au Moyen Âge. Seul subsiste son Torhalle (Porche-entrée) qui est l'un des plus importants vestiges de l'architecture préromane en Allemagne et date du milieu du IXe siècle. Elle figure sur la liste du patrimoine mondial de l’Unesco depuis 1991. Succursale de la cour carolingienne, elle a été fondée par le comte Cancor et sa tante Landrada de Hesbaye et a été occupée par des moines bénédictins venant de Gorze près de Metz. En 885, l'abbaye était nommée Lauressam, le nom actuel étant apparu au cours du temps. L’église abbatiale et les bâtiments en bois d’origine étaient situés sur le terrain de l'actuelle cathédrale. La consécration de l'église fut faite par l'archevêque de Mayence Lull vers l'an 774 en présence de Charlemagne. Possédant l'une des plus grandes bibliothèques du Moyen Âge, l'abbaye avait des possessions dans la forêt d'Odenwald, la Bergstraße, la Hesse rhénane, l'Alsace et la Lorraine. L’abbaye devint une possession de l’électorat de Mayence en 1232 puis du Palatinat du Rhin à partir de 1461. L’abbaye fut dissoute en 1564 puis incendiée en 1621 lors de la retraite des Espagnols. Des documents précieux ont été produits ou conservés dans cette abbaye, en particulier l’évangéliaire, le codex, la pharmacopée et les Annales de Lorsch.;http://commons.wikimedia.org/wiki/Special:FilePath/Torhalle_Kloster_Lorsch.jpg?width=300
http://dbpedia.org/resource/Abbey_Church_of_Saint-Savin-sur-Gartempe;Abbaye de Saint-Savin-sur-Gartempe;http://en.wikipedia.org/wiki/Abbey_Church_of_Saint-Savin-sur-Gartempe;46.5642;0.866111;L’abbaye de Saint-Savin-sur-Gartempe est située à Saint-Savin dans le département de la Vienne. Elle est inscrite sur le patrimoine mondial de l'Unesco car elle abrite un ensemble de peintures murales romanes très complet, bien conservé et unique en Europe.;http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye_Saint-Savin-sur-Gartempe_2006-07-10_3.jpg?width=300
http://dbpedia.org/resource/Pannonhalma_Archabbey;Abbaye territoriale de Pannonhalma;http://en.wikipedia.org/wiki/Pannonhalma_Archabbey;47.5528;17.7611;"L'abbaye territoriale de Pannonhalma ou abbaye bénédictine de Pannonhalma (hongrois : Pannonhalmi Bencés Főapátság) est une abbaye territoriale bénédictine située dans le comitat de Győr-Moson-Sopron en Hongrie. Fondée en 996, elle est classée au patrimoine mondial de l'humanité. Pour l'Unesco, elle illustre « de manière exceptionnelle la structure et l'organisation d'un monastère chrétien en constante évolution depuis mille ans ». Le monastère abrite également une école, un de garçons de 350 élèves en internat, les logements des moines, un foyer pour personnes âgées, une bibliothèque et une école supérieure de théologie. Depuis sa création, l’abbaye tient une place particulière dans l'histoire de la Hongrie ; des visiteurs prestigieux s'y sont rendus, du Premier roi de Hongrie, Étienne Ier (1000-1038), à Jean-Paul II ou au dalaï-lama plus récemment qui y a effectué une retraite spirituelle. L'abbaye est l'abbaye territoriale de la congrégation bénédictine hongroise (fondée en 1514). Son abbé-général est depuis 2018 l'archi-abbé Cirill Hortobágyi (qui succède au T.R.P. Asztrik Várszegi), dont dépendent plusieurs prieurés en Hongrie, Slovaquie et Brésil.";http://commons.wikimedia.org/wiki/Special:FilePath/Pannonhalma_-_Bencés_apátság.jpg?width=300
http://dbpedia.org/resource/Abu_Mena;Abou Mena;http://en.wikipedia.org/wiki/Abu_Mena;30.841;29.6635;Abou Mena ou Abu Mena est une ancienne ville d'Égypte. La ville se situe à environ 45 kilomètres au sud-ouest d'Alexandrie. Bâtie autour de la tombe du martyr Ménas, mort en 309, la ville comporte de nombreux édifices dont un monastère chrétien. Les ruines ont été inscrites sur la liste du patrimoine mondial par le comité du patrimoine mondial de l'UNESCO en 1979. Cependant, les travaux agricoles récents dans le secteur de ce site archéologique ont provoqué une élévation significative des niveaux des nappes phréatiques conduisant à la déstabilisation ou à l'effondrement d'un certain nombre de bâtiments. En 2001, le site a été ajouté à la liste du patrimoine mondial en péril.;http://commons.wikimedia.org/wiki/Special:FilePath/Abu_Mena_Ancient_Monastery_04.JPG?width=300
http://dbpedia.org/resource/Cap_Blanc_rock_shelter;Abri de Cap Blanc;http://en.wikipedia.org/wiki/Cap_Blanc_rock_shelter;44.9456;1.09694;L'abri de Cap Blanc ou du Cap Blanc est un abri sous roche préhistorique comportant des sculptures d'animaux datées du Magdalénien. Cet abri se trouve en France, sur la commune de Marquay dans le département de la Dordogne. Classé au titre des monuments historiques depuis 1910, l'abri est l'un des quinze sites préhistoriques et grottes ornées de la vallée de la Vézère inscrits au patrimoine mondial de l'UNESCO depuis 1979.;http://commons.wikimedia.org/wiki/Special:FilePath/Capblanc_1911.jpg?width=300
http://dbpedia.org/resource/Baekje_Historic_Areas;Aires historiques de Baekje;http://en.wikipedia.org/wiki/Baekje_Historic_Areas;36.4619;127.127;"Les aires historiques de Baekje regroupent 8 sites situés dans l'ouest de la Corée du Sud à Gongju, Buyeo et Iksan qui ont été classés dans la liste du patrimoine mondial de l'UNESCO en 2015. Ils sont représentatifs de la dernière période du royaume de Baekje entre les années 475 et 660. Ce sont les forteresses Gongsanseong et Busosanseong, les temples Jeongnimsa et Mireuksa, les tombes royales de Songsan-ri et de Neungsan-ri, les remparts de Naseong et les sites archéologiques de Wanggung-ri et . 
* Portail de l’archéologie 
* Portail du patrimoine mondial 
* Portail de la Corée";http://commons.wikimedia.org/wiki/Special:FilePath/Temple_Miruksa.jpg?width=300
